Название,Автор,Описание
Царь зверей 7. Скрытая угроза,"Антон Емельянов, Сергей Савинов","Джи – самая крутая онлайн-игра во всех вселенных, в которую играют все разумные расы…Темная парочка утрясла все свои разногласия, но новый неожиданно нашедшийся повелитель Альдноа планирует какие-то странные дела, а значит, спокойствие им не грозит. Коснутся ли эти, вроде бы, незначительные изменения наших героев или же это просто локальный способ разобраться с хаосом, накопившимся за время отсутствия центральной власти на планете ящерок? Как бы то ни было, Ана-Тари вызывают к отцу, а Александр на это время возвращается на Землю."
Призрачный Сервер,Ливадный Андрей Львович,"Он - обитатель киберпространства. Игрок, давно мечтающий расстаться с реальной жизнью Жажда новых ощущений толкает его на рискованный шаг, и вот один из первых нейросетевых имплантатов становится неотъемлемой частью его организма. Но этого мало. Он страстно хочет шагнуть за грань, полностью порвать с реалом, и такая возможность неожиданно открывается в загадочном проекте ""Призрачный Сервер"". Здесь космос и киберпространство сходятся воедино, сжигая судьбы людей и ксеноморфов, а погоня за острыми ощущениями быстро становится безжалостной схваткой за выживание. Но самое таинственное, загадочное, ужасное ждет впереди, когда начинает брезжить понимание: отсюда нет выхода, каждый поступок фатален, а каждый шаг ведет по краю пропасти между жизнью и смертью..."
Сквозь Бездны Миров,Павел Котов (Dozzz),"За смертью Алекса, сталкера ""Свободы"", последовала новая жизнь в чужом и опасном мире, полная странствий и сражений. Он - не интриган, не харизматичный лидер и даже не гениальный полководец. Он - воин и убийца с необычными способностями псионика, привыкший решать проблемы с помощью силы.ISBN 978-5-4485-3698-4"
Демон чернокнижник,Игорь Гардер,"Мир изменился, и мы стали другими. Кто-то получил в своё распоряжение клыки орка, а кому-то достались уши эльфа. Ну а мне же достались в полное мое ведение рога на голову, крылья за спину и хвост чуть пониже спины. Ну и бог с ними всеми, а со мной – моя удача и вера в светлое будущее, в МОЁ светлое будущее. Остальные пусть своё куют или добывают для себя сами в меру свой фантазии и сил. Лично я отвечаю только за свои рога и хвост, а остальным просьба не стоять перед локомотивом."
КРАЙ СВЕТА,Ворон Ольга,"Край света. Край тьмы. Это - один край. И понять это предстоит Николаю Кадышеву,  чемпиону боёв без правил, волей судьбы заброшенному на стройку сейсмологической станции к берегам Японского моря... В соавторстве с Антоном Ворон."
Ремесленники душ,Дмитрий Распопов,"Два самых мощных государства на континенте сражаются за ценнейший ресурс планеты, и это не благородные металлы или драгоценные камни, это – источник энергии. Паровые коляски, мельницы, боевые корабли и даже время – всем может управлять эссенция человеческой души.Только Ремесленники способны переплавить душу в энергию, поэтому от них зависит судьба всей Империи.Юный Рэджинальд занят борьбой за свободу от отца деспота и поисками кровожадного маньяка и еще не знает, какую важную роль ему предстоит сыграть в партии сильных мира сего…"
Замок на гиблых болотах,Ливадный Андрей Львович,"Таинственное наследие Ушедших — уникальная цитадель, полная неразгаданных тайн прошлого, становится серьезным испытанием для Алекса и Энеи. Их «спонтанная покупка» грозит обернуться первой клановой войной «Хрустальной Сферы». Тем временем корпорация «Инфосистемы» начинает агрессивное внедрение нейроимплантатов, а в реальном мире происходят зловещие события, которым пока никто не придает истинного значения…"
Кваzи Эпсил'ON,Поляков Эдуард,"Главный герой попадает за решетку, на дворе 2036год и теперь ему предстоит пять лет провести в заключении, игре “Квази Эпсилон” в капсуле полного погружения. Да в игре, но для него это не просто игра. Боль, предательства, дружба и конечно любовь. Карты розданы, отныне он заключенный инженер-механик, и только от него зависит, как скоро он увидит свет звезды по имени Солнце… Реальное Солнце, а не то, созданное из нулей и единиц.  А.Л.К.О.прода в ВК."
Крот из Клана Боевых Хомяков,Alexis Opsokopolos,"Ещё вчера ты был молодым весёлым парнем, у тебя были планы на будущее и куча разных желаний. Но ты сделал одну маленькую глупость, и вот теперь ты – Крот из Клана Боевых Хомяков. И нет у тебя больше никаких планов, и будущего, скорее всего, тоже нет. Одно радует, с желаниями стало проще и понятней. Оно теперь всего одно – выжить! Выжить в мире мечей, арбалетов, магии и колдовства! А ещё они будут называть это игрой. Но тебе-то уж точно не до игрушек."
"Империя Теней. Книга 2 ""Пророчество""",Алекс Тёмных,"Продолжение приключений нашей мифической троицы - императрицы, мага Жизни и Смерти, и мага Воды. В этой книге наших героев ждут: смертельные тренировки в Царстве Тьмы, рабство, трансформация, новые магические способности,потери, горе, любовь и ненависть... Не сломает ли это наших героев, не настроит ли против друг друга? Смогут ли они приспособиться к жизни в Империи Теней, принять её законы, найти свое место и смысл жизни? Все ли останутся живы? И какая роль отведена им пророчеством эльфов?"
Бабник,Дэорсе Александр Аркадьевич,"ГГ подлец и хам по мнению женщин. Не ноет, спит с кем хочет. МС и антигаремник. (девушкам и женщинам читать не рекомендуется)."
Этап,Константин Бояндин,"Конца света не будет. Возможно, потому, что он случается по расписанию для тех немногих, которые абсолютно точно знают, когда он наступит в очередной раз. «Этап» — роман о тех, кто, возможно, охраняет всё человечество, не позволяя ему сгинуть раз и навсегда. Для этого нужно немногое: в очередной раз пережить конец света — и остаться человеком."
Гильдия. (Книга 1.Том 6.),Евгений Бергер,"Тени сгущаются! Вайз даже не представляет, в какую жо... Некомпетентную ситуацию он влип. Но верные друзья (придурки) помогут ему со всем справиться. Или нет?..."
--- Бесполезный... -2- Проводник ---,Moroving,"Не успел толком освоится в новом мире так попал в другой. Впрочем, везде можно найти свои плюсы. Однако тот маленький факт, что мир, в который ты попал живёт по своим собственным законам… Этот мир ко всему прочему хочет тебя уничтожить… Сжечь. Этот факт немного так действует на нервы. Правда теперь я далеко не одинок… Есть те, кого нельзя бросить в этом аду. Только проводник способен показать правильную дорогу. Вот только что делать проводнику если он и сам понятия не имеет куда идти? Остаётся только продолжать свой путь… Вперёд... Тьма и Хаос Ждут."
Мечебоец,Кирилл Шарапов,"Эта книга для меня нетипична - славянское фэнтези, но даже здесь я умудрился устроить апокалипсис, наводнив мир нежитью. В основе книги лежат славянские мифы и моя фантазия. Фантазии гораздо больше. Книга написана давным-давно, прошу не судить меня строго, просто я написал сказку."
Заново Рожденый,Астафьев Андрей,Попаданец в мир Наруто... Вступление в клан Сенжу и овладевает мокутоном...
Гильдия. (Книга 1. Том 4.),Евгений Бергер,"Четвертый том невероятных приключений Жож... Ой, в смысле Вайза Бурерожденного!"
Реинкарнировал в мире ЭРОГЕ! [Арка 5 - Сексом дружбу не испортишь],grimuare,"ГГ удушился намертво, во время прохождения хентай новеллы «Шлюховатый Токио». Это так насмешило плоскогрудую Богиню, что та переродила его в мире этой игры, в роли главного героя.Какие приключения выпадут на пятую и шестую точку нашего героя, остается только гадать. Но одно явно точно – скучно не будет!"
Спайди. Часть 4.,Sirius M.,"Четвертая и, надеюсь, последняя часть фанфика про попаданца в тушку всеми любимого персонажа в стильном красно-синем трико."
Спора,JeniaK,"Каково это зародить и развить Жизнь? Стать двигателем эволюции?Представим себе, что ""Колесо Сансары"" за наши прегрешения выдаст нам возможность взять в свои руки само мироздание и создать ""Жизнь"". Какой она станет?"
LEVEL UP: Женский взгляд,Валерия Корносенко,"Играя в компьютерную игру, жалеешь, что в реальной жизни нельзя так же просто изменить внешность, работу, отношения с людьми. Не превратиться играючи из неудачницы в успешного человека. Хотя! Почему нет? Нужна лишь мелочь – новый игровой интерфейс, прямо у тебя в голове! Выполнять задания, прокачивать свой уровень и навыки. Стать всесторонне развитой личностью. Найти свое предназначение в жизни. Какой путь развития выберет Женя, молодая, полненькая, среднестатистическая неудачница? Система пришла в ее жизнь. Нельзя допустить ошибок в прокачке, ведь второго шанса не выпадет! Хватит себя жалеть! Пора реально прокачаться! P.S. Путешествие по миру книги ""Level up"" талантливейшего автора Данияра Сугралинова. Развитие личности; игра в реальности; прокачка; юмор; отношения."
Белый Охотник,Аллесий,"Мир, где сосуществуют люди, демоны, колдуны с ведьмами и различная нечисть. Все они преследуют свои цели, все стремятся к чему-то своему. Когда-то давно ведьм и колдунов было куда больше: каждый второй знал пару приёмов, дабы заклясть рану или согреться зимой, но с приходом единой церкви всё изменилось. Мало кто помнит те времена.Орден Белых Охотников — церковные псы, что выискивают прячущихся по норам умельцев, знающих о волшбе больше, чем другие. В Орден отбирают по совершенно особым критериям ещё в детстве, превращая детей в машины для убийств. Но всё ли так просто в окружающем мире? Точно ли ведьмы плохие, святые отцы — благостные наставники и пастыри, а зверства окружающего мира и сам мир — это не то, что должно волновать охотника? И вообще — охотники, они такие, как их описывает молва? И все ли из них безупречны настолько, насколько их таковыми считают высшие саны Святой Церкви Первого Апостола? А, главное, куда заведут поиски этих ответов ребёнка с очень необычными силами?.."
Боевые рейтинги,grimuare,"""Боевые рейтинги"" - самая популярная ММОРПГ в виртуальной реальности, лучшие игроки добиваются славы и денег... по крайней мере так должно быть. Роумер - топовый игрок, был предан собственной командой и оказался в долгах, в добавок ему запретили участие в турнирах на год. Как не помереть с голоду, если все что ты умеешь - выносить рейд-боссов и других игроков в ПВП, да чинить шлемы виртуальной реальности?Благо удача улыбнулась - для рекламы нового сервера разработчики объявили о конкурсе с крупным денежным фондом, надо всего то собрать команду и первым ПРОЙТИ ММО! Благо под руку подвернулось несколько нубов, из которых при должном усилии можно сделать команду."
База солнца,Ka Lip,"15 том. База солнца… Япония – страна восходящего солнца… Этот том будет насыщен событиями. Действия будут разворачиваться в Питере, Москве, Японии, Швейцарии и даже на яхте в море у берегов Греции…Дорогой читатель, всё написанное - лишь фантазия автора. Не ищи совпадений в событиях и лицах, здесь реальны лишь чувства и любовь."
Мистический рыцарь.,Тайниковский,"Что делать человеку, который попал в виртуальное рабство, а его настоящее тело уже никогда не вернуть? Отчаяться? Смириться? Подчиниться? Нет уж, извольте!"
Рукотворный Рай: Последний Двемерский Архитектор,Moroving,"Забвение ослабило свою хватку, ковчег пора раскрыть. Пришло время для твоего Возвращения… Яргум… Магия и Технология. В твоих руках это не взаимно исключающие части Искусства... Ты вобрал в себя многое, Перерождённый Двемер… Или всё-таки человек? Прошлое и будущие. Происхождение и предназначение. Решай кто ты есть. Решай, что для тебя этот мир. Просто ступенька возрождения Империи или колыбель совершенно новой истории. От твоих действий зависит многое... Последний Архитектор."
Атлант. Книга третья. Цанг,Artshm,"Обстоятельства сложились так, что пришлось отправиться в крайне рискованную экспедицию в мертвый мир. Мир, в котором все не так, магия сходит с ума, а всё что ты видишь, хочет тебя сожрать, а если ты ничего не видишь, это значить только то, что тебя хочет сожрать что-то невидимое."
Оптовик. Добрым словом и серебром,Здрав Олег,"Продаю воздух. Оптом и в розницу. Обычно вместе с серебряной пулей ""Диаболо"" калибра 9 мм."
Сталь,Олег Борисов,"Чужие знания не подарили спокойной жизни. Они лишь подарили кровь, смерть и стальных монстров в небесах. Но куда как хуже, когда в войны престолов вмешивается чужой игрок, который готов уничтожить и фигуры на доске, и само игровое поле.В мир летающих островов пришли темные времена..."
Демон танцующий,Александр Войкин,"Человек всегда стремился найти путь из этой реальности. Когда-то он создавал виртуальные миры, и тысячи игроков ступали на их земли. Этот же мир не похож на сказку. Он жесток. Здешние обитатели не щадят никого, и каждый прожитый день - попытка вырвать жизнь из цепких лап смерти. Плюсы? А они должны быть? Точно, есть один - я ходячая зараза, наполовину мертвец по кличке Чума. Что, считаете это минусом? Ничего, скоро поймете..."
Дальний поиск,fantakt,"Исследователи 2-й Галактической экспедиции проводят простой технический эксперимент, который приводит к неожиданным последствиям. Корабль выбрасывает из времени и пространства на несколько месяцев, а совсем рядом по космическим меркам, полпарсека, возникают необычные световые вспышки. Небольшой корабль отправляется изучать ""побочные эффекты""..."
Реинкарнировал в мире ЭРОГЕ! [Арка 6 - Призван чтобы стать Кликбейтом],grimuare,"ГГ удушился намертво, во время прохождения хентай новеллы «Шлюховатый Токио». Это так насмешило плоскогрудую Богиню, что та переродила его в мире этой игры, в роли главного героя.Какие приключения выпадут на пятую и шестую точку нашего героя, остается только гадать. Но одно явно точно – скучно не будет!"
H.I.V.E. Игра в кошки-мышки,Баковец Михаил,"В этом мире не нужны лекарства, исчезла проблема с продуктами – любые изысканные яства можно найти, лишь затратив минимум усилий, потеряла свою остроту жилищная проблема, не требуются услуги пластических хирургов, а само понятие  ""возраст"" у старожил Улья забылось. Паразит, навечно поселившийся в крови, бережёт своего носителя лучше, чем охрана золото в Госсхране, и он же превращает в безумцев 95% всех в течение первой недели, после чего приходит Смерть в виде кошмарных мутантов за ещё тремя из выжившей пятёрки. Улей, Муравейник – как только не называют это место, где с завидной регулярностью перемещаются куски из разных миров, эпох и цивилизаций. Произведение написано по мотивам мира, созданного А. Каменистым."
Второй Хранитель,Андрей Архипов,"Перс и Фаза. Они попали в Улей вместе, смогли выжить, пройдя сквозь ад сошедшего с ума родного города, но их дороги разошлись. Перс сознательно сделал из себя чудовище, дав клятву отомстить за смерть любимой, а Фаза уходит выполнять таинственное поручение Торговой гильдии. Судьба их снова сводит вместе, и они встают плечом к плечу в туманном горном кластере, кишащем злобными голодными тварями…. Книга написана по мотивам серии Стикс Артема Каменистого."
Живая душа,Дмитренко Татьяна Евгеньевна,"Ещё одна попаданка в другой мир. Странный и страшноватый мир. Никто не ждёт пришелицу из нашей реальности, в доступной видимости отсутствуют добрые поселяне, тёмно-светло-эльфийские принцы и фамильяры. Как выживать? А вот теперь это твои проблемы, детка..."
Скальд,Мартин Аратои,"Мир Алинора манит к себе новых игроков! Место для великих воинов и загадочных магов, где в темных альковах плетутся интриги, а на полях сражений сходятся неисчислимые армии! Но что делать, если твой путь вдали от всего этого? Пей и пой, а провидение направит куда нужно, лишь бы ветер в лицо, копьё в руке, под ногами палуба драккара, а за спиной верные соратники!"
Дело первое: Кьята,Виталий Останин,"Прошу любить и жаловать: Остерия ""Старый конь"". Это место считается нейтральной территорией для криминального мира средневекового Сольфик Хуна. Ее владелец - бывший сотрудник Тайной Имперской стражи. Ее гости - проходимцы и титулованные особы. Добро пожаловать! А, кстати, еще здесь можно вкусно поесть!)"
Несгибаемый. Не буди лихо...,Калбазов Константин Георгиевич,"Завораживающий, будоражащий кровь и вызывающий всплеск адреналина рев двигателя. В общем-то ничего особенного для нашего мира. Но только не для того, в который попал наш современник Петр Пастухов. Здесь середина двадцатых годов двадцатого же столетия и балом правит пар при полном отсутствии двигателей внутреннего сгорания. Ну не называть же таковым те единицы, что были созданы горе-энтузиастами на собственные скромные средства. Почему «горе»? Так ведь каждый попытавшийся покуситься на монополию паровых машин рискует сложить голову от рук тайного клуба. Неизвестно, чем бы все это обернулось, знай Петр обо всем этом с самого начала. Но теперь у него нет другого выхода: либо он сломит хребет клубу, либо тот прокатится по нему тяжелым катком."
Класс-Нейтрал. Пришествие Странника,Сергей Бельский,"Надоела обычная жизнь? Скука и однообразие навешивают свою пелену серости? Одна работа и никакого отдыха? Тогда стоит посмотреть на величественные красоты виртуальной реальности, пройтись по древним городам и увидеть невообразимые магические заклинания. Много всего есть в той реальности, но не только все прелести нашего мира перенеслись туда. У другого мира тоже много сторон и не все они столь приятны для созерцания.Вторая книга: https://author.today/work/15368"
Удар током,Вадим Яловецкий,"Кому не хотелось в своём прошлом что-то поменять? Пенсионеру Петрушевскому такая возможность представилась и родной Ленинград, весной 1968 года, встретил Дмитрия Сергеевича подзабытыми реалиями. Ученик 10 класса по новому воспринимает своё место в этой жизни. С высоты прожитых десятилетий и привычками из двадцать первого века, существовать в прежней действительности непросто. Заново пробираясь по вехам жизненного пути, пытаясь что-то изменить, главный герой не сразу узнаёт ещё одну сторону своей истории. Прошлое и настоящее переплетаясь создают причудливую картину новой биографии, которую пенсионер фиксирует для потомков в дневнике. Герой действует в рамках своего мировоззрения и представления о реальности."
Я - Маг,Виталий Ильченко,"Меня зовут Алексей, я ученик одиннадцатого класса. С тех пор, как мне исполнилось одиннадцать лет, я искал возможности стать магом. Искал все, что только могло помочь мне в этом, но увы - все безрезультатно. В один прекрасный день, мне выпал шанс, который полностью перевернул мою жизнь. И это не в каком-то там магическом мире, где магия встречается на каждом шагу, нет. Именно в нашем мире мне открылся дар магии. Вот только, как оказалось, быть волшебником это не только могущество, а еще и смертельная опасность, которая грозит от тех, кто тщательно скрывает Истинную Магию от простых обывателей. Теперь мне предстоит не только овладеть своим даром, но и постараться выжить, вместе со своей девушкой и нашими родителями."
Дети древнего леса. Новая надежда,Анастасия Заречная,"Нет, ну вот честное слово: такое могло только со мной приключиться! Запланировала роскошный отдых, а вместо этого попала на необитаемый остров. А потом так и вовсе утащили незнамо куда, в спрятанный ото всех город, где эльфы дружат с оборотнями, а улицы освещаются волшебными цветами. И домой вернуться шансов никаких... Значит, придётся обживаться!"
Нагибатор-2. Судный день,Андросенко Александр Дмитриевич,"ЛитРПГ по миру Барлионы. Продолжение истории Нагибателя Всемогущего. После убийства Хеллфайера, между Фениксом и Красными Комиссарами вспыхивает клановая война. Силы неравны, а КК, вынужденные отступать по всем фронтам, еще и стараются избежать проблем с Империей Картос, в которой затеяли расследование ограбления золотых рудников. Для того, чтобы удержать под своим контролем Замок Древних и прилегающие территории, Нагибателя и Махнуса, единственного НПС-свидетеля ограбления, переправляют как можно дальше от Дальгора, на другой конец Малабара. Казалось бы, что проще - пережди две недели, пока идет расследование, но мы ведь имеем дело с ГГ, который не ищет легких путей..."
Воплощенный в Камне. Книга 2,Алексей Тихий,"Неделя выдалась не из легких: и в тюрьме побывал, крепость захватить и защитить успел. Вот только врагов чересчур уж много: мало было орды крысолюдов, как вновь темные эльфы пожаловали. а тут еще и фанатики Церкви маячат, да трижды проклятые драконы о своем существовании напоминают. И ничего, не ропщет. Да еще эти бесконечные интриги подгорного Трона, ну и торговая гильдия затеяла свою мутную игру. На все рук не хватает, хоть разорвись… Думаете сложно? Но ведь никто и не обещал, что будет легко. Маэстро фехтования и Узбадан древней крепости подгорного народа Бар-Шамунир, Грор сын Кили из рода Кхим не умеет отступать. А значит стиснуть зубы - и вперед, и пусть кровь врагов реками прольется на землю, пришло время завоевать и себе место под здешним солнцем."
«Не время для Реала» - «Вестники Войны»,Асачёв Тарас,"Знаете чем, отличается Игрок от НПС? Наверняка знаете, это не сложно понять – игрок свободный персонаж, вольный в своих решениях и ограниченный только игровыми законами типа Хитов, запрета на атаку слабого и иже с этим. НПС – Не игровой Персонаж – это единица управления, взаимодействия и развлечения вышеназванных игроков. НПС ограничены не игровыми законами, а непосредственно алгоритмами, что описывают их и дают им цели и задачи. В сети ежедневно появляются снимки и видеодорожки от новичков, где очередной НПС нарушает законы игры, однако это уже ни никого не удивляет. НПС это не игрок, и если ему нужно немного обойти игровую механику ради цели – он обойдет. Это уже ни для кого не секрет. Вот видео где НПС обходит свои алгоритмы создали бы куда больше шума, но это лирика, этого не может быть, потому что не может быть в принципе. Хотя я отвлекся. Итак, мы поняли, чем отличается НПС от Игрока, конечно можно рассуждать не одни сутки об их различии, но главное мы уже поняли – игроки свобо"
Телохранитель её величества. Точка невозврата,Кусков Сергей Анатольевич,"Корпус королевских телохранителей. Таинственная цитадель амазонок ее величества, овеянная множеством мифов и легенд, большинство из которых оказываются ложными или не дотягивающими до уровня, какой придается им ""за воротами"". И что делать Хуану теперь, когда он узнал главный секрет этой организации - вечное одиночество?    Да и нужна ли ему такая лестница в небо, если дойдя до самой ее вершины ты вдруг осознаешь себя слабым и невероятно беспомощным? Несмотря на всю имеющуюся в руках власть, подчиняющиеся тебе войска и государственные институты? А главной платой станет полный отказ от каких бы то ни было норм морали и принципов - иначе там просто не выжить? Готов ли он к этой битве - ибо остаться прежним, не потерять себя, больше не получится?"
Дело о демонах высших сфер,Любовь Федорова,"Далекая от имперской столицы южная провинция. Немного политики, немного финансов, немного пиратов и много загадок. Следующая детективная история после ""Тыквы""."
"Хозяйка мертвой воды. Флакон 2: Пар, моторное масло и магия",Варвара Серебро,"Аркрум - империя господства пара и магии, страна где царит равенство рас, государство, где равнинные люди, подгорные дворфы и горцы-аслау живут в мире. Когда-то давно это было так, а сейчас... Хельге предстоит окунуться в грязь дворцовых интриг, столкнуться с маньяком Чучельником и излечить самую страшную чуму общества - равнодушие и черствость сердец. Кто если не она? Кто если не Хозяйка Мертвой воды?"
Попаданец 2.0,Широков Алексей,"В детстве Игорь Нечаев хотел вырасти и стать не космонавтом или милиционером, а самым настоящим супергероем. Ведь сколько он себя помнил, у него всегда были необычные способности, выделяющие его из толпы сверстников. С возрастом мечты поблекли, но не исчезли, а служба в составе поисково-спасательной группы морской пехоты РФ дала возможность хотя бы частично воплотить их в жизнь. Однако, Игорь и помыслить не мог, что однажды, пожертвовав собой ради товарищей он положит начало чему-то большему. А в итоге, получит ответы на многие вопросы и раскроет страшные тайны своей семьи."
Окаянный,Антон Текшин,"Глеб Измайлов. никогда не жаловался на излишнюю везучесть. Тяжёлая болезнь, потеря работы – пожалуй, это была светлая полоса его жизни, если задуматься, КУДА его зашвырнуло.Новички здесь не протягивают и суток. Выжившие – лишь статистическая погрешность, подтверждающая общее правило.  Наивно пытаться войти в их число, когда на тебя открыта настоящая охота. И если обычным монстрам ты интересен просто в качестве деликатеса, то местным жителям нужно от тебя гораздо больше. Ну, как от тебя… Скорее – от твоего двойника, набедокурившего в здешних землях так, что он стал Легендой. Правда, со знаком «минус». Попробуй теперь доказать, что это не ты, если ваше сходство – на генетическом уровне.И это ещё не самая худшая новость недели.Кто там говорил про везение?"
Перевертыш II,Николай Алентьев,"Продолжение истории светлого эльфа с темным даром. Сражения на море и суше, учеба в академии и, конечно, девушки."
Боец,Роман Добрый,"Так сложились обстоятельства. Дмитрий не хотел, но был подписан на контракт в проекте ""Вирус"". Окружающие в насмешку приклеивают кличку ""ссылкивый пони"". Но тут не до смеха, когда на тебе разработчики обкатывают экспериментальную программу. Вокруг разрушенный мир и толпы зомби жаждущих свежей плоти. Задача - закрыть контракт в срок. На кону - собственное здоровье."
